X;Y;Type
5.0234;36.7558;Green zones
4.8615;36.6749;Green zones
5.2794505;36.550037;Green zones
4.98606;36.73101;Green zones
5.090101;36.758977;Green zones
4.98385;36.72792;Green zones
4.8445045;36.680655;Orange zones
5.0883;36.7552;Green zones
4.693334;36.602525;Green zones
4.5644;36.4769;Green zones
4.47603;36.41659;Green zones
5.0658028;36.650355;Green zones
5.027656;36.725095;Green zones
4.9800335;36.718374;Green zones
4.978809;36.721682;Green zones
4.9768;36.7305;Green zones
4.98315;36.72345;Green zones
4.976981;36.725133;Green zones
4.77579;36.61206;Green zones
5.26184;36.47777;Green zones
4.572929;36.480134;Green zones
4.5048536;36.462751;Green zones
5.0426;36.7241;Green zones
4.69345;36.60815;Green zones
5.01014;36.757827;Green zones
5.274005;36.48246;Green zones
4.893215;36.635893;Green zones
4.912473;36.641215;Green zones
5.0337;36.7622;Green zones
4.81301;36.566574;Green zones
5.307;36.5657;Green zones
4.7737;36.6477;Green zones
4.82739;36.621404;Green zones
5.2171;36.6131;Green zones
5.043027;36.728673;Green zones
4.990289;36.712269;Green zones
5.041242;36.751805;Green zones
4.914349;36.662556;Green zones
5.03858;36.744097;Green zones
5.084269;36.75983;Green zones
5.076054;36.759673;Green zones
5.082;36.75667;Green zones
5.063256;36.722563;Green zones
5.054711;36.740009;Green zones
5.075302;36.725456;Green zones
5.01624;36.778811;Green zones
4.380185;36.342212;Green zones
4.443239;36.369211;Green zones
4.538137;36.433618;Green zones
4.747075;36.627026;Green zones
4.903515;36.664398;Green zones
4.533577;36.459918;Green zones
4.662144;36.881048;Green zones
4.6669;36.6951;Green zones
4.51718;36.43362;Green zones
4.5012;36.3718;Green zones
4.6501;36.4409;Green zones
4.401681;36.453324;Green zones
4.6096;36.6311;Green zones
2.83114;36.4706;Green zones
2.8236;36.4722;Green zones
2.8297;36.4711;Green zones
2.91193;36.572;Green zones
3.22345;36.6198;Green zones
2.82891;36.4716;Green zones
2.84626;36.4454;Green zones
2.855;36.5105;Green zones
3.2325;36.6311;Green zones
2.9018;36.5673;Green zones
2.912872;36.578421;Green zones
3.1516;36.5671;Green zones
2.90456;36.5656;Green zones
2.9152;36.5791;Green zones
2.86024;36.522;Green zones
2.8632;36.5005;Green zones
2.8569;36.489;Green zones
2.8492;36.4962;Green zones
2.80497;36.4797;Green zones
2.82492;36.4689;Green zones
2.83555;36.4646;Green zones
2.82518;36.4894;Green zones
2.8173;36.4766;Green zones
2.80379;36.4873;Green zones
2.82945;36.476;Green zones
2.7874;36.5559;Green zones
2.90958;36.5182;Green zones
2.81585;36.5179;Green zones
2.82264;36.5405;Green zones
2.6324;36.4655;Green zones
2.6852;36.4626;Green zones
2.73295;36.4571;Green zones
2.9947;36.5322;Green zones
3.08967;36.5404;Green zones
3.15573;36.5656;Green zones
3.22174;36.6208;Green zones
3.17936;36.5928;Green zones
3.01207;36.581;Green zones
2.87596;36.6208;Green zones
2.56197;36.4306;Green zones
3.11895;36.5538;Green zones
2.86242;36.509;Green zones
2.84472;36.4878;Green zones
2.8385;36.4798;Green zones
2.75825;36.4211;Green zones
3.22712;36.6214;Green zones
3.08181;36.5417;Green zones
3.1467;36.5627;Green zones
2.9133;36.573;Green zones
2.6257;36.4709;Green zones
2.742;36.4633;Green zones
2.85047;36.4991;Green zones
2.82764;36.4813;Green zones
2.81121;36.472;Green zones
2.88479;36.5002;Green zones
2.83597;36.4737;Green zones
2.6901;36.4694;Green zones
2.88655;36.5268;Green zones
2.83362;36.4861;Green zones
2.81196;36.4627;Green zones
2.79939;36.4765;Green zones
2.81617;36.4908;Green zones
2.79635;36.55;Green zones
3.1614;36.5708;Green zones
2.81362;36.4852;Green zones
2.85102;36.5159;Green zones
3.0831;36.5719;Green zones
3.07341;36.5442;Green zones
3.0893;36.5326;Green zones
3.16205;36.5577;Green zones
3.17058;36.5615;Green zones
3.21519;36.6147;Green zones
2.61852;36.4661;Green zones
2.62949;36.4601;Green zones
2.69485;36.4671;Orange zones
2.76805;36.4591;Green zones
2.81191;36.4817;Green zones
2.81962;36.4861;Green zones
2.80055;36.4833;Green zones
2.91285;36.5672;Green zones
2.91094;36.5756;Green zones
2.9131;36.5851;Green zones
2.9193;36.5326;Green zones
2.99084;36.5162;Green zones
3.01099;36.524;Green zones
2.81407;36.5459;Green zones
2.81589;36.5238;Green zones
2.80492;36.5769;Green zones
2.82244;36.473;Green zones
2.68958;36.4661;Green zones
2.86348;36.4967;Green zones
2.85333;36.4877;Green zones
2.86092;36.489;Green zones
2.83223;36.4697;Green zones
2.91938;36.5762;Green zones
2.68969;36.4066;Green zones
2.87897;36.52145;Green zones
2.6217;36.4464;Green zones
2.81553;36.4693;Green zones
2.8525;36.507;Green zones
2.85873;36.4955;Green zones
2.82321;36.4796;Green zones
2.86225;36.5052;Green zones
3.1406;36.5727;Green zones
2.69053;36.42811;Green zones
2.88298;36.5086;Green zones
2.83703;36.5786;Green zones
2.9046;36.5698;Green zones
2.9085;36.5797;Green zones
2.81324;36.5685;Green zones
3.10264;36.5401;Green zones
2.73275;36.4882;Green zones
2.80899;36.4762;Green zones
2.71583;36.5592;Green zones
2.84962;36.492;Green zones
3.22404;36.5972;Orange zones
2.8745;36.4958;Orange zones
2.69464;36.45912;Green zones
2.80708;36.517;Green zones
3.21497;36.6253;Green zones
3.09161;36.5517;Green zones
2.9127;36.5451;Green zones
3.0772;36.5394;Green zones
2.53795;36.4006;Green zones
3.26808;36.5838;Green zones
2.84316;36.5;Green zones
2.86946;36.6116;Green zones
3.2265;36.6177;Green zones
2.74607;36.4378;Green zones
2.83897;36.4472;Green zones
2.787;36.4872;Green zones
2.83214;36.4948;Green zones
2.88454;36.4308;Green zones
2.71216;36.42544;Green zones
3.13449;36.5951;Green zones
3.20212;36.6529;Green zones
3.23545;36.6411;Green zones
2.920856;36.5705;Green zones
2.90416;36.5625;Green zones
2.97168;36.5317;Green zones
3.172;36.5665;Green zones
2.7919;36.4603;Green zones
2.6303;36.4708;Green zones
2.73616;36.4488;Green zones
2.82691;36.487;Green zones
2.83044;36.4791;Green zones
2.84039;36.4846;Green zones
2.85973;36.5273;Green zones
2.82001;36.5327;Green zones
2.6488;36.475;Green zones
2.7467;36.4646;Red zones
2.6858;36.4689;Green zones
2.85727;36.4931;Green zones
2.90616;36.5827;Green zones
3.08519;36.5478;Green zones
2.99231;36.525;Green zones
2.8929;36.51857;Green zones
2.89367;36.5024;Green zones
2.8482;36.4845;Green zones
2.86479;36.4902;Green zones
2.8311;36.4671;Green zones
2.951549;36.555081;Green zones
2.7422;36.5215;Green zones
2.8636;36.5133;Green zones
3.04211;36.5252;Green zones
2.5587;36.4253;Green zones
2.84772;36.50195;Green zones
3.22054;36.6167;Green zones
3.2106;36.6151;Red zones
2.84428;36.4808;Orange zones
3.0094;36.5631;Green zones
2.73584;36.4468;Green zones
2.69828;36.4664;Green zones
2.6884;36.4604;Green zones
2.91014;36.5388;Green zones
2.9068;36.5755;Green zones
2.7897;36.5508;Green zones
2.7931;36.5569;Green zones
2.7788;36.4528;Red zones
2.8366;36.4699;Green zones
2.82818;36.4731;Green zones
3.0122;36.533;Green zones
3.2382;36.5065;Green zones
2.75564;36.4996;Green zones
3.1341;36.5562;Green zones
2.88525;36.5408;Orange zones
2.8981;36.5856;Green zones
2.9067;36.5097;Green zones
2.84678;36.5135;Green zones
2.8544;36.5221;Green zones
3.23597;36.6479;Green zones
2.7437;36.4402;Green zones
3.10171;36.5515;Green zones
2.8591;36.5836;Green zones
3.23396;36.6226;Green zones
2.967624;36.53581;Green zones
2.6222;36.4559;Green zones
2.844888;36.508033;Green zones
3.1096;36.5298;Green zones
2.9209;36.5788;Green zones
3.118;36.5393;Green zones
3.0743;36.5206;Green zones
2.8329;36.482;Green zones
3.192848;36.582213;Orange zones
3.083437;36.566215;Green zones
